#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description
143,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
144,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
145,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
146,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
147,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
148,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
149,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
150,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
151,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
152,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
153,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
154,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
155,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
156,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
157,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
158,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
159,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
160,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
161,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
162,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
163,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
164,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
165,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
166,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
167,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
168,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
169,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
170,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
171,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
172,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
173,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
174,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
175,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
176,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
177,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
178,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
179,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
180,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
181,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
182,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
183,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
184,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
185,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
186,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
187,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
188,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
189,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
190,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
191,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
192,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
193,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
194,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
195,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
196,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
197,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
198,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
199,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
200,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
201,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
202,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
203,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
204,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
205,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
206,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
207,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
208,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
209,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
210,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
211,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
212,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
213,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
214,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
215,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
216,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
217,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
218,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
219,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
220,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
221,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
222,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
223,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
224,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
225,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
226,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
227,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
228,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
229,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
230,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
231,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
232,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
233,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
234,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
235,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
236,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
237,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
238,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
239,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
240,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
241,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
242,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
243,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
244,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
245,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
246,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
247,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
248,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
249,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
250,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
251,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
252,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
253,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
254,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
255,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
256,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
257,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
258,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
259,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
260,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
261,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
262,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
263,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
264,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
265,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
266,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
267,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
268,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
269,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
270,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
271,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
272,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
