<pre>** 
			SELECT * FROM
            	(SELECT *  FROM `e107_repeater`
				   ) as tmp
				left join `e107_repeater_band` on tmp.repeater_band_fk=repeater_band_id
				left join `e107_repeater_channel` on tmp.repeater_channel_fk=repeater_channelID
				left join `e107_repeater_type` on tmp.repeater_type_fk=repeater_type_id
				left join `e107_repeater_region` on tmp.repeater_region_fk=repeater_region_id
				left join `e107_repeater_ctcss` on tmp.repeater_ctcss_fk=repeater_ctcss_id
				left join `e107_repeater_status` on tmp.repeater_status_fk=repeater_status_id
				 WHERE repeater_id > 0 
				 ORDER BY repeater_callsign
				 </pre><br />
#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description,"BANK 1","BANK 2","BANK 3","BANK 4","BANK 5","BANK 6","BANK 7","BANK 8","BANK 9",BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,PRFRQ,SMSQL,RXATT,ELL,Masked,Internet,DCSinv
51,"434.8250 ",FM,Minus,0,"433.2250 ",OFF,67.0,023,,GB3CV,HIGH,,OFF,"12.5 K",,,,,,", COVENTRY, , IO92GK, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
52,"434.7000 ",FM,Minus,0,"433.1000 ",OFF,103.5,023,,GB3CW,HIGH,,OFF,"12.5 K",,,,,,", NEWTOWN POWYS, , IO82HL, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
53,"145.1250 ",FM,Minus,0,"145.7250 ",OFF,110.9,023,,GB3DA,HIGH,,OFF,"12.5 K",,,,,,", DANBURY, , JO01GR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
54,"51.2700 ",FM,Minus,0,"50.7700 ",OFF,110.9,023,,GB3DB,HIGH,,OFF,"12.5 K",,,,,,", DANBURY, , JO01HR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
55,"145.0875 ",FM,Minus,0,"145.6875 ",OFF,71.9,023,,GB3DC,HIGH,,OFF,"12.5 K",,,,,,", DERBY, , IO92GW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
56,"434.8500 ",FM,Minus,0,"433.2500 ",OFF,94.8,023,,GB3DD,HIGH,,OFF,"12.5 K",,,,,,", DUNDEE, , IO86MM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
57,"434.7750 ",FM,Minus,0,"433.1750 ",OFF,110.9,023,,GB3DE,HIGH,,OFF,"12.5 K",,,,,,", IPSWICH, , JO02NF, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
58,"145.1750 ",FM,Minus,0,"145.7750 ",OFF,103.5,023,,GB3DG,HIGH,,OFF,"12.5 K",,,,,,", NEWTON STEWART, , IO74UV, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
59,"434.7500 ",FM,Minus,0,"433.1500 ",OFF,118.8,023,,GB3DI,HIGH,,OFF,"12.5 K",,,,,,", DIDCOT, , IO91IN, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
60,"438.5250 ",FM,Minus,0,"430.9250 ",OFF,103.5,023,,GB3DM,HIGH,,OFF,"12.5 K",,,,,,", DUMBARTON, , IO75RW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
61,"438.5250 ",FM,Minus,0,"430.9250 ",OFF,103.5,023,,GB3DM,HIGH,,OFF,"12.5 K",,,,,,", DUMBARTON, , IO75RW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
62,"145.0375 ",FM,Minus,0,"145.6375 ",OFF,77.0,023,,GB3DN,HIGH,,OFF,"12.5 K",,,,,,", STIBB CROSS, , IO70UW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
63,"438.5750 ",FM,Minus,0,"430.9750 ",OFF,77.0,023,,GB3DQ,HIGH,,OFF,"12.5 K",,,,,,", POLPERRO, , IO70RI, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
64,"145.1375 ",FM,Minus,0,"145.7375 ",OFF,71.9,023,,GB3DR,HIGH,,OFF,"12.5 K",,,,,,", DORCHESTER, , IO80QR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
65,"434.9250 ",FM,Minus,0,"433.3250 ",OFF,71.9,023,,GB3DS,HIGH,,OFF,"12.5 K",,,,,,", WORKSOP, , IO93KH, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
66,"434.6000 ",FM,Minus,0,"433.0000 ",OFF,71.9,023,,GB3DT,HIGH,,OFF,"12.5 K",,,,,,", BLANDFORD CAMP, , IO80WU, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
67,"145.1625 ",FM,Minus,0,"145.7625 ",OFF,118.8,023,,GB3DU,HIGH,,OFF,"12.5 K",,,,,,", DUNS, , IO85SS, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
68,"434.6250 ",FM,Minus,0,"433.0250 ",OFF,71.9,023,,GB3DV,HIGH,,OFF,"12.5 K",,,,,,", MALTBY, , IO93JK, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
69,"145.0625 ",FM,Minus,0,"145.6625 ",OFF,,023,,GB3DW,HIGH,,OFF,"12.5 K",,,,,,", CRICCIETH, , IO72VW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
70,"434.9000 ",FM,Minus,0,"433.3000 ",OFF,110.9,023,,GB3DX,HIGH,,OFF,"12.5 K",,,,,,", LONDONDERRY, , IO65HA, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
71,"434.8500 ",FM,Minus,0,"433.2500 ",OFF,71.9,023,,GB3DY,HIGH,,OFF,"12.5 K",,,,,,", WIRKSWORTH, , IO93FB, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
72,"145.0875 ",FM,Minus,0,"145.6875 ",OFF,110.9,023,,GB3EA,HIGH,,OFF,"12.5 K",,,,,,", WICKHAMBROOK, , JO02GE, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
73,"145.1875 ",FM,Minus,0,"145.7875 ",OFF,88.5,023,,GB3EB,HIGH,,OFF,"12.5 K",,,,,,", EASTBOURNE, , JO00DT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
74,"434.9500 ",FM,Minus,0,"433.3500 ",OFF,94.8,023,,GB3ED,HIGH,,OFF,"12.5 K",,,,,,", EDINBURGH, , IO85JW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
75,"434.9000 ",FM,Minus,0,"433.3000 ",OFF,71.9,023,,GB3EE,HIGH,,OFF,"12.5 K",,,,,,", CHESTERFIELD, , IO93FE, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
76,"51.2200 ",FM,Minus,0,"50.7200 ",OFF,110.9,023,,GB3EF,HIGH,,OFF,"12.5 K",,,,,,", STOWMARKET, , JO02NF, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
77,"434.8000 ",FM,Minus,0,"433.2000 ",OFF,67.0,023,,GB3EH,HIGH,,OFF,"12.5 K",,,,,,", EDGE HILL, , IO92GC, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
78,"438.4875 ",FM,Minus,0,"430.8875 ",OFF,103.5,023,,GB3EK,HIGH,,OFF,"12.5 K",,,,,,", MARGATE, , JO01QJ, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
79,"145.0000 ",FM,Minus,0,"145.6000 ",OFF,82.5,023,,GB3EL,HIGH,,OFF,"12.5 K",,,,,,", LONDON, , JO01AM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
80,"434.6750 ",FM,Minus,0,"433.0750 ",OFF,110.9,023,,GB3ER,HIGH,,OFF,"12.5 K",,,,,,", DANBURY, , JO01GR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
81,"145.0750 ",FM,Minus,0,"145.6750 ",OFF,103.5,023,,GB3ES,HIGH,,OFF,"12.5 K",,,,,,", HASTINGS, , JO00HV, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
82,"145.1000 ",FM,Minus,0,"145.7000 ",OFF,77.0,023,,GB3EV,HIGH,,OFF,"12.5 K",,,,,,", DUFTON, , IO84SQ, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
83,"145.0125 ",FM,Minus,0,"145.6125 ",OFF,77.0,023,,GB3EW,HIGH,,OFF,"12.5 K",,,,,,", EXETER, , IO80FR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
84,"438.5500 ",FM,Minus,0,"430.9500 ",OFF,77.0,023,,GB3EX,HIGH,,OFF,"12.5 K",,,,,,", SILVERTON, , IN89GW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
85,"438.5750 ",FM,Minus,0,"430.9750 ",OFF,110.9,023,,GB3EZ,HIGH,,OFF,"12.5 K",,,,,,", WICKHAMBROOK, , JO02GE, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
86,"438.4500 ",FM,Minus,0,"430.8500 ",OFF,82.5,023,,GB3FC,HIGH,,OFF,"12.5 K",,,,,,", BLACKPOOL, , IO83LU, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
87,"145.0625 ",FM,Minus,0,"145.6625 ",OFF,103.5,023,,GB3FE,HIGH,,OFF,"12.5 K",,,,,,", STIRLING, , IO86BC, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
